"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"29.07.2018","2.840,35","2.819,00","2.840,38","2.796,34","","0,76%"
"22.07.2018","2.818,82","2.799,17","2.848,03","2.795,14","","0,61%"
"15.07.2018","2.801,83","2.801,43","2.816,76","2.789,24","","0,02%"
"08.07.2018","2.801,31","2.768,51","2.804,53","2.768,51","","1,50%"
"01.07.2018","2.759,82","2.704,95","2.764,41","2.698,95","","1,52%"
"24.06.2018","2.718,37","2.742,94","2.746,09","2.691,99","","-1,33%"
"17.06.2018","2.754,88","2.765,79","2.774,99","2.743,19","","-0,89%"
"10.06.2018","2.779,66","2.780,18","2.791,47","2.761,73","","0,02%"
"03.06.2018","2.779,03","2.741,67","2.779,90","2.739,51","","1,62%"
"27.05.2018","2.734,62","2.705,11","2.736,93","2.676,81","","0,49%"
"20.05.2018","2.721,33","2.725,95","2.742,24","2.707,38","","0,31%"
"13.05.2018","2.712,97","2.733,37","2.742,10","2.701,91","","-0,54%"
"06.05.2018","2.727,72","2.669,36","2.732,86","2.655,20","","2,41%"
"29.04.2018","2.663,42","2.675,05","2.682,92","2.594,62","","-0,24%"
"22.04.2018","2.669,91","2.675,40","2.683,55","2.612,67","","-0,01%"
"15.04.2018","2.670,14","2.670,10","2.717,49","2.660,61","","0,52%"
"08.04.2018","2.656,30","2.617,18","2.680,26","2.610,79","","1,99%"
"01.04.2018","2.604,47","2.633,45","2.672,08","2.553,80","","-1,38%"
"25.03.2018","2.640,87","2.619,35","2.674,78","2.593,06","","2,03%"
"18.03.2018","2.588,26","2.741,38","2.741,38","2.585,89","","-5,95%"
"11.03.2018","2.752,01","2.790,54","2.801,90","2.741,47","","-1,24%"
"04.03.2018","2.786,57","2.681,06","2.786,57","2.675,75","","3,54%"
"25.02.2018","2.691,25","2.757,37","2.789,15","2.647,32","","-2,04%"
"18.02.2018","2.747,30","2.722,99","2.747,76","2.697,77","","0,55%"
"11.02.2018","2.732,22","2.636,75","2.754,42","2.622,45","","4,30%"
"04.02.2018","2.619,55","2.741,06","2.763,39","2.532,69","","-5,16%"
"28.01.2018","2.762,13","2.867,23","2.870,62","2.759,97","","-3,85%"
"21.01.2018","2.872,87","2.809,16","2.872,87","2.808,12","","2,23%"
"14.01.2018","2.810,30","2.798,96","2.810,33","2.768,64","","0,86%"
"07.01.2018","2.786,24","2.742,67","2.787,85","2.736,06","","1,57%"
"31.12.2017","2.743,15","2.683,73","2.743,45","2.682,36","","2,60%"
"24.12.2017","2.673,61","2.679,09","2.692,12","2.673,61","","-0,36%"
"17.12.2017","2.683,34","2.685,92","2.694,97","2.676,11","","0,28%"
"10.12.2017","2.675,81","2.652,19","2.679,63","2.651,47","","0,92%"
"03.12.2017","2.651,50","2.657,19","2.665,19","2.624,75","","0,35%"
"26.11.2017","2.642,22","2.602,66","2.657,74","2.598,87","","1,53%"
"19.11.2017","2.602,42","2.579,49","2.604,21","2.578,24","","0,91%"
"12.11.2017","2.578,85","2.576,53","2.590,09","2.557,45","","-0,13%"
"05.11.2017","2.582,30","2.587,47","2.597,02","2.566,33","","-0,21%"
"29.10.2017","2.587,84","2.577,75","2.588,42","2.566,17","","0,26%"
"22.10.2017","2.581,07","2.578,08","2.582,98","2.544,00","","0,23%"
"15.10.2017","2.575,21","2.555,57","2.575,44","2.547,92","","0,86%"
"08.10.2017","2.553,17","2.551,39","2.557,65","2.541,60","","0,15%"
"01.10.2017","2.549,33","2.521,20","2.552,51","2.520,40","","1,19%"
"24.09.2017","2.519,36","2.499,39","2.519,44","2.488,03","","0,68%"
"17.09.2017","2.502,22","2.502,51","2.508,85","2.496,54","","0,08%"
"10.09.2017","2.500,23","2.474,52","2.500,23","2.474,52","","1,58%"
